TeamName,G,Date,Court,Opp,W/L,Tm,Opp,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
abilene-christian,1,2022-11-07,H,Jackson State,W,65.0,56.0,23.0,57.0,0.404,8.0,28.0,0.286,11.0,20.0,0.55,4.0,32.0,12.0,9.0,5.0,15.0,17.0,22.0,55.0,0.4,2.0,19.0,0.105,10.0,14.0,0.714,7.0,40.0,9.0,6.0,1.0,21.0,21.0
abilene-christian,2,2022-11-11,@,Texas A&M,L,58.0,77.0,20.0,52.0,0.385,8.0,18.0,0.444,10.0,12.0,0.833,9.0,24.0,12.0,11.0,0.0,20.0,22.0,23.0,44.0,0.523,6.0,16.0,0.375,25.0,35.0,0.714,10.0,33.0,7.0,11.0,3.0,19.0,17.0
abilene-christian,3,2022-11-15,H,McMurry,W,104.0,46.0,41.0,68.0,0.603,5.0,17.0,0.294,17.0,22.0,0.773,15.0,44.0,22.0,15.0,5.0,18.0,18.0,15.0,49.0,0.306,6.0,22.0,0.273,10.0,15.0,0.667,4.0,17.0,7.0,9.0,2.0,27.0,18.0
abilene-christian,4,2022-11-21,N,Wright State,L,61.0,77.0,25.0,58.0,0.431,7.0,22.0,0.318,4.0,10.0,0.4,6.0,26.0,15.0,11.0,3.0,23.0,23.0,30.0,50.0,0.6,5.0,11.0,0.455,12.0,19.0,0.632,1.0,24.0,18.0,12.0,5.0,18.0,14.0
abilene-christian,5,2022-11-22,N,Weber State,L,67.0,77.0,26.0,53.0,0.491,9.0,17.0,0.529,6.0,11.0,0.545,2.0,22.0,20.0,7.0,3.0,15.0,19.0,24.0,51.0,0.471,6.0,21.0,0.286,23.0,25.0,0.92,8.0,29.0,10.0,4.0,0.0,18.0,13.0
abilene-christian,6,2022-11-23,N,UC-Riverside,L,65.0,76.0,22.0,60.0,0.367,7.0,24.0,0.292,14.0,18.0,0.778,12.0,29.0,14.0,7.0,3.0,14.0,21.0,24.0,52.0,0.462,9.0,24.0,0.375,19.0,21.0,0.905,9.0,35.0,16.0,7.0,1.0,17.0,19.0
abilene-christian,7,2022-11-27,@,Northern Arizona,W,92.0,82.0,34.0,60.0,0.567,10.0,18.0,0.556,14.0,22.0,0.636,8.0,29.0,18.0,6.0,2.0,10.0,22.0,28.0,58.0,0.483,10.0,22.0,0.455,16.0,22.0,0.727,9.0,30.0,13.0,3.0,2.0,10.0,18.0
abilene-christian,8,2022-11-30,H,North American,W,93.0,46.0,31.0,68.0,0.456,11.0,29.0,0.379,20.0,26.0,0.769,17.0,38.0,19.0,15.0,3.0,9.0,18.0,13.0,41.0,0.317,5.0,13.0,0.385,15.0,21.0,0.714,5.0,26.0,5.0,4.0,4.0,24.0,23.0
abilene-christian,9,2022-12-03,H,Arlington Baptist,W,88.0,42.0,36.0,67.0,0.537,8.0,25.0,0.32,8.0,10.0,0.8,16.0,40.0,22.0,13.0,8.0,15.0,18.0,12.0,44.0,0.273,2.0,9.0,0.222,16.0,19.0,0.842,4.0,19.0,8.0,5.0,3.0,19.0,11.0
abilene-christian,10,2022-12-06,@,Kansas State,L,64.0,81.0,25.0,55.0,0.455,7.0,19.0,0.368,7.0,12.0,0.583,7.0,26.0,14.0,6.0,2.0,13.0,21.0,31.0,53.0,0.585,3.0,12.0,0.25,16.0,29.0,0.552,9.0,32.0,23.0,7.0,3.0,12.0,13.0
abilene-christian,11,2022-12-10,H,Texas A&M-Commerce,W,83.0,64.0,28.0,55.0,0.509,6.0,15.0,0.4,21.0,24.0,0.875,10.0,25.0,15.0,10.0,0.0,9.0,17.0,23.0,50.0,0.46,7.0,26.0,0.269,11.0,15.0,0.733,9.0,25.0,13.0,4.0,2.0,18.0,20.0
abilene-christian,12,2022-12-17,@,Cal State Bakersfield,W,65.0,59.0,20.0,49.0,0.408,10.0,21.0,0.476,15.0,22.0,0.682,3.0,19.0,13.0,6.0,1.0,10.0,17.0,22.0,49.0,0.449,2.0,9.0,0.222,13.0,16.0,0.813,8.0,34.0,13.0,3.0,7.0,14.0,24.0
abilene-christian,13,2022-12-21,H,Howard Payne,W,113.0,52.0,44.0,79.0,0.557,13.0,35.0,0.371,12.0,25.0,0.48,21.0,56.0,24.0,13.0,4.0,18.0,20.0,16.0,54.0,0.296,4.0,24.0,0.167,16.0,22.0,0.727,1.0,18.0,2.0,8.0,4.0,26.0,23.0
abilene-christian,14,2022-12-29,@,Stephen F. Austin,L,68.0,75.0,28.0,61.0,0.459,6.0,20.0,0.3,6.0,11.0,0.545,9.0,30.0,19.0,4.0,3.0,12.0,21.0,27.0,57.0,0.474,4.0,14.0,0.286,17.0,25.0,0.68,10.0,34.0,19.0,8.0,3.0,10.0,18.0
abilene-christian,15,2022-12-31,H,Tarleton State,W,69.0,63.0,21.0,49.0,0.429,5.0,16.0,0.313,22.0,31.0,0.71,7.0,29.0,8.0,9.0,4.0,16.0,17.0,21.0,48.0,0.438,4.0,8.0,0.5,17.0,21.0,0.81,3.0,27.0,4.0,7.0,1.0,21.0,26.0
abilene-christian,16,2023-01-07,H,Southern Utah,L,72.0,74.0,25.0,63.0,0.397,5.0,25.0,0.2,17.0,19.0,0.895,7.0,23.0,12.0,11.0,3.0,9.0,26.0,24.0,43.0,0.558,4.0,11.0,0.364,22.0,35.0,0.629,8.0,38.0,5.0,3.0,5.0,21.0,26.0
abilene-christian,17,2023-01-11,@,Texas-Rio Grande Valley,L,86.0,103.0,29.0,72.0,0.403,5.0,19.0,0.263,23.0,27.0,0.852,8.0,19.0,23.0,13.0,3.0,10.0,34.0,31.0,46.0,0.674,7.0,15.0,0.467,34.0,48.0,0.708,5.0,38.0,21.0,5.0,10.0,25.0,23.0
abilene-christian,18,2023-01-14,@,Tarleton State,L,63.0,72.0,24.0,57.0,0.421,5.0,19.0,0.263,10.0,21.0,0.476,10.0,31.0,15.0,7.0,0.0,12.0,24.0,20.0,45.0,0.444,5.0,11.0,0.455,27.0,36.0,0.75,6.0,32.0,12.0,7.0,3.0,12.0,19.0
abilene-christian,19,2023-01-18,@,Utah Valley,L,54.0,84.0,21.0,70.0,0.3,4.0,20.0,0.2,8.0,14.0,0.571,11.0,32.0,14.0,9.0,1.0,9.0,18.0,33.0,62.0,0.532,7.0,21.0,0.333,11.0,15.0,0.733,10.0,51.0,27.0,5.0,7.0,17.0,19.0
abilene-christian,20,2023-01-21,H,UT Arlington,W,84.0,68.0,31.0,49.0,0.633,10.0,17.0,0.588,12.0,15.0,0.8,5.0,23.0,20.0,8.0,2.0,14.0,21.0,23.0,51.0,0.451,8.0,17.0,0.471,14.0,20.0,0.7,11.0,24.0,12.0,5.0,3.0,14.0,14.0
abilene-christian,21,2023-01-26,H,Grand Canyon,L,73.0,75.0,29.0,61.0,0.475,6.0,18.0,0.333,9.0,17.0,0.529,7.0,23.0,15.0,9.0,2.0,8.0,20.0,24.0,47.0,0.511,8.0,17.0,0.471,19.0,24.0,0.792,9.0,33.0,11.0,5.0,5.0,16.0,17.0
abilene-christian,22,2023-01-28,H,Utah Tech,W,81.0,76.0,27.0,57.0,0.474,0.0,6.0,0.0,27.0,32.0,0.844,9.0,34.0,12.0,10.0,1.0,14.0,26.0,26.0,51.0,0.51,11.0,23.0,0.478,13.0,20.0,0.65,5.0,26.0,11.0,6.0,1.0,19.0,27.0
abilene-christian,23,2023-02-01,@,Seattle,W,83.0,68.0,34.0,67.0,0.507,8.0,16.0,0.5,7.0,9.0,0.778,8.0,38.0,16.0,7.0,1.0,6.0,15.0,27.0,65.0,0.415,9.0,28.0,0.321,5.0,9.0,0.556,9.0,34.0,13.0,3.0,3.0,11.0,13.0
abilene-christian,24,2023-02-04,@,California Baptist,W,87.0,71.0,27.0,52.0,0.519,11.0,20.0,0.55,22.0,25.0,0.88,8.0,28.0,15.0,7.0,1.0,10.0,20.0,25.0,53.0,0.472,6.0,25.0,0.24,15.0,23.0,0.652,8.0,25.0,16.0,4.0,3.0,13.0,16.0
air-force,1,2022-11-07,@,Bowling Green State,L,58.0,62.0,22.0,55.0,0.4,12.0,34.0,0.353,2.0,4.0,0.5,2.0,27.0,11.0,5.0,6.0,11.0,17.0,22.0,56.0,0.393,6.0,20.0,0.3,12.0,19.0,0.632,6.0,35.0,9.0,8.0,2.0,13.0,14.0
air-force,2,2022-11-11,H,Delaware,W,75.0,71.0,25.0,53.0,0.472,8.0,23.0,0.348,17.0,25.0,0.68,10.0,38.0,16.0,4.0,4.0,11.0,23.0,19.0,57.0,0.333,8.0,26.0,0.308,25.0,30.0,0.833,11.0,32.0,9.0,6.0,2.0,8.0,24.0
air-force,3,2022-11-14,H,Texas A&M-Commerce,L�(1 OT),69.0,73.0,24.0,53.0,0.453,6.0,22.0,0.273,15.0,26.0,0.577,7.0,35.0,15.0,12.0,5.0,16.0,22.0,25.0,61.0,0.41,10.0,35.0,0.286,13.0,22.0,0.591,10.0,37.0,16.0,7.0,5.0,16.0,20.0
air-force,4,2022-11-17,H,Portland,L,51.0,64.0,15.0,45.0,0.333,8.0,25.0,0.32,13.0,16.0,0.813,4.0,28.0,10.0,5.0,1.0,16.0,17.0,20.0,54.0,0.37,8.0,27.0,0.296,16.0,17.0,0.941,8.0,32.0,11.0,5.0,3.0,10.0,19.0
air-force,5,2022-11-21,H,USC Upstate,W,83.0,56.0,27.0,52.0,0.519,9.0,24.0,0.375,20.0,27.0,0.741,11.0,40.0,16.0,5.0,2.0,12.0,15.0,23.0,54.0,0.426,4.0,20.0,0.2,6.0,15.0,0.4,5.0,19.0,5.0,5.0,4.0,9.0,24.0
