G,Date,Court,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/7/2022,0,Northern Arizona,W,73,55,19,60,0.317,8,30,0.267,9,13,0.692,7,32,13,5,2,11,13
2,11/11/2022,N,Gonzaga,L,63,64,23,55,0.418,4,18,0.222,14,22,0.636,9,37,8,11,7,18,22
3,11/15/2022,N,Kentucky,W (2 OT),86,77,27,70,0.386,7,25,0.28,16,24,0.667,10,35,17,12,8,15,25
4,11/18/2022,0,Villanova,W,73,71,24,53,0.453,8,29,0.276,15,19,0.789,4,24,15,7,0,6,10
5,11/24/2022,N,Alabama,L,70,81,28,63,0.444,8,23,0.348,17,24,0.708,11,40,19,6,5,10,20
6,11/26/2022,N,Oregon,W,74,70,27,63,0.429,10,32,0.313,6,8,0.75,10,32,13,4,2,10,17
7,11/27/2022,@,Portland,W,78,77,26,61,0.426,13,29,0.448,12,12,1,7,23,17,4,3,5,13
8,11/30/2022,@,Notre Dame,L,52,70,27,54,0.5,11,26,0.423,5,8,0.625,3,28,13,2,3,6,12
9,12/4/2022,0,Northwestern,L,63,70,21,49,0.429,7,23,0.304,21,24,0.875,5,30,8,10,5,11,15
10,12/7/2022,@,Penn State,W,67,58,19,55,0.345,8,27,0.296,12,18,0.667,5,33,11,4,4,9,15
11,12/10/2022,0,Brown,W,68,50,20,60,0.333,4,20,0.2,6,10,0.6,11,34,16,4,3,7,11
12,12/21/2022,0,Oakland,W,67,54,20,63,0.317,7,25,0.28,7,11,0.636,9,27,10,7,3,7,18
13,12/30/2022,0,Buffalo,W,89,68,28,66,0.424,5,16,0.313,7,10,0.7,9,32,11,4,7,14,23
14,1/3/2023,0,Nebraska,W,74,56,23,55,0.418,2,16,0.125,8,20,0.4,7,27,10,5,3,9,14
15,1/7/2023,0,Michigan,W,59,53,19,55,0.345,3,20,0.15,12,16,0.75,3,29,8,5,4,9,18
16,1/10/2023,@,Wisconsin,W,69,65,25,55,0.455,9,23,0.391,6,8,0.75,3,18,9,6,1,5,18
17,1/13/2023,@,Illinois,L,66,75,27,60,0.45,6,18,0.333,15,18,0.833,8,29,11,4,10,5,10
18,1/16/2023,0,Purdue,L,63,64,22,52,0.423,4,10,0.4,16,18,0.889,8,29,17,6,2,9,16
19,1/19/2023,0,Rutgers,W,70,57,22,64,0.344,2,17,0.118,11,15,0.733,15,37,14,8,1,11,12
20,1/22/2023,@,Indiana,L,69,82,26,55,0.473,9,15,0.6,21,24,0.875,8,31,13,4,6,9,21
21,1/26/2023,0,Iowa,W,63,61,26,57,0.456,3,17,0.176,6,13,0.462,9,36,9,7,2,13,13
22,1/29/2023,@,Purdue,L,61,77,29,58,0.5,7,17,0.412,12,22,0.545,11,36,21,5,2,8,14
