G,Date,Court,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/7/2022,0,Northern Arizona,W,73,55,29,65,0.446,9,27,0.333,6,8,0.75,10,42,17,6,6,9,16
2,11/11/2022,N,Gonzaga,L,63,64,21,52,0.404,3,16,0.188,18,28,0.643,6,28,11,9,1,15,22
3,11/15/2022,N,Kentucky,W (2 OT),86,77,28,69,0.406,7,19,0.368,23,27,0.852,12,40,19,6,3,18,19
4,11/18/2022,0,Villanova,W,73,71,28,54,0.519,13,25,0.52,4,6,0.667,5,29,22,4,1,12,16
5,11/24/2022,N,Alabama,L,70,81,24,62,0.387,4,14,0.286,18,25,0.72,10,36,9,5,5,11,22
6,11/26/2022,N,Oregon,W,74,70,27,61,0.443,9,29,0.31,11,12,0.917,10,32,20,2,1,7,12
7,11/27/2022,@,Portland,W,78,77,31,59,0.525,8,14,0.571,8,11,0.727,9,27,17,1,3,8,14
8,11/30/2022,@,Notre Dame,L,52,70,21,54,0.389,4,12,0.333,6,6,1,2,28,8,4,2,7,12
9,12/4/2022,0,Northwestern,L,63,70,23,55,0.418,8,22,0.364,9,12,0.75,6,27,16,7,4,13,17
10,12/7/2022,@,Penn State,W,67,58,26,60,0.433,6,14,0.429,9,11,0.818,4,38,13,2,3,8,14
11,12/10/2022,0,Brown,W,68,50,27,64,0.422,8,22,0.364,6,6,1,10,37,21,6,4,6,14
12,12/21/2022,0,Oakland,W,67,54,25,51,0.49,10,22,0.455,7,16,0.438,8,39,19,5,6,14,16
13,12/30/2022,0,Buffalo,W,89,68,30,59,0.508,8,19,0.421,21,30,0.7,7,35,21,6,3,10,13
14,1/3/2023,0,Nebraska,W,74,56,31,65,0.477,8,25,0.32,4,6,0.667,11,40,24,7,4,9,17
15,1/7/2023,0,Michigan,W,59,53,21,56,0.375,6,19,0.316,11,13,0.846,6,35,12,2,1,10,19
16,1/10/2023,@,Wisconsin,W,69,65,23,44,0.523,7,13,0.538,16,17,0.941,3,32,10,3,3,13,12
17,1/13/2023,@,Illinois,L,66,75,28,65,0.431,0,7,0,10,13,0.769,12,39,4,2,2,9,17
18,1/16/2023,0,Purdue,L,63,64,25,53,0.472,6,19,0.316,7,10,0.7,8,30,12,3,0,11,19
19,1/19/2023,0,Rutgers,W,70,57,26,55,0.473,12,22,0.545,6,7,0.857,6,34,19,9,6,9,17
20,1/22/2023,@,Indiana,L,69,82,23,53,0.434,4,14,0.286,19,28,0.679,6,26,6,5,1,9,20
21,1/26/2023,0,Iowa,W,63,61,24,62,0.387,8,20,0.4,7,12,0.583,10,32,15,10,4,10,15
22,1/29/2023,@,Purdue,L,61,77,23,48,0.479,5,10,0.5,10,16,0.625,1,23,14,6,4,13,19
